OTU_ID,0,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000
OTU589,7.93147E-05,0,0.000317259,0.000158629,0,0,0,0.001427665,0.000158629,0.002458756,0,0
OTU313,0.001427665,0.001744924,0.002379442,0.001110406,0.00134835,0.001744924,0.002141497,0.000793147,0.000713832,0.002062183,0.001903553,0.002300127
OTU1854,0.000634518,0,0.000317259,0.000555203,0.000555203,7.93147E-05,0.000475888,7.93147E-05,7.93147E-05,0.002379442,0.000158629,0
OTU294,0.001110406,0.001031091,0.002300127,0.001031091,0.001031091,0.000951777,0.000793147,0.001427665,0.00150698,0.000951777,0.001824239,0.00150698
OTU4142,0.000793147,0.002300127,0.001189721,0.001031091,0.000555203,0.001427665,0.00134835,0.000713832,0.001189721,0.000396574,0.001189721,0.001586294
OTU716,0.000951777,0.002300127,0.001269036,0.000713832,0.001586294,0.00134835,0.000396574,0.000237944,0.000713832,0.000158629,0.000872462,0.001586294
OTU869,0.002300127,0.001269036,7.93147E-05,7.93147E-05,0.000555203,0.000317259,0.000634518,0.000317259,0.000951777,0.000158629,0.000555203,7.93147E-05
OTU546,0.000396574,0.000793147,0.000317259,0.000713832,0.002300127,0.000793147,0.000475888,0.000475888,0.000317259,0.000396574,0.000396574,0.000158629
OTU424,0.001903553,0.00150698,0.001586294,0.001824239,0.002220812,0.000634518,0.00134835,0.001427665,0.001744924,0.000872462,0.001744924,0.001269036
OTU4911,0.001586294,0.001665609,0.002220812,0.00134835,0.001110406,0.000872462,0.000793147,0.001427665,0.001189721,0.000634518,0.00134835,0.000793147
